,major, class
17792,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 242
17793,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17794,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17795,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BBMB 404
17796,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17797,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17798,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17799,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 111
17800,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 112
17801,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17802,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17803,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17804,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17805,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17806,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17807,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17808,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17809,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17810,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17811,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17812,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17813,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 101
17814,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17815,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 230
17816,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17817,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17818,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17819,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17820,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17821,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHIL 331
17822,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 367
17823,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17824,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 460
17825,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17826,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17827,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 177
17828,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 178
17829,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17830,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17831,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17832,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,MATH 165
17833,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17834,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17835,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 331
17836,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 332
17837,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17838,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 242
17839,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17840,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17841,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17842,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17843,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17844,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 112
17845,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 111
17846,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17847,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17848,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17849,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17850,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17851,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17852,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17853,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17854,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,MATH 
17855,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17856,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17857,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17858,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17859,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 177
17860,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 178
17861,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17862,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 367
17863,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17864,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17865,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17866,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 111
17867,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 112
17868,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17869,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 460
17870,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17871,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17872,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17873,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17874,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 177
17875,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 178
17876,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17877,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17878,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17879,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17880,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 101
17881,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17882,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17883,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17884,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17885,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17886,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 230
17887,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17888,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17889,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17890,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 460
17891,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17892,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17893,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,ENGL 302
17894,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,LIB 160
17895,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SP CM 212
17896,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,BIOL 255
17897,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,BIOL 256
17898,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,BIOL 211
17899,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,CHEM 163
17900,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,FS HN 167
17901,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,MICRO 201
17902,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,FS HN 167
17903,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PHYS 115
17904,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,BIOL 211
17905,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,CHEM 163
17906,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,FS HN 167
17907,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,MICRO 201
17908,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PHYS 115
17909,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PHYS 111
17910,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,STAT 101
17911,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,MATH 140
17912,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,STAT 101
17913,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,STAT 101
17914,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,MATH 104
17915,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,MATH 140
17916,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,STAT 101
17917,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 101
17918,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 230
17919,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SOC 134
17920,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 101
17921,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SOC 134
17922,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 101
17923,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SOC 134
17924,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 230
17925,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SOC 134
17926,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 101
17927,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SOC 134
17928,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,ENGL 150
17929,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,ENGL 250
17930,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,LIB 160
17931,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,SP CM 212
17932,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,ENGL 302
17933,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 110
17934,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 350
17935,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 252
17936,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 253
17937,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 258
17938,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 358
17939,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,P R 220
17940,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 105
17941,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 215
17942,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 310
17943,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 385
17944,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 430
17945,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 464
17946,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 485
17947,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,HD FS 270
17948,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,HD FS 449
17949,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,PSYCH 485
17950,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,HD FS 377
17951,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 259
17952,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 266
17953,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 345
17954,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 355
17955,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 360
17956,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 366
17957,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 372
17958,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 385
17959,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 458
17960,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 459
17961,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 462
17962,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,KIN 485A
17963,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,H S 380
17964,Kinesiology and Health- B.S. - Pre-Health Professions - Physician Assistant,A TR 220
